,id,heure_de_paris,humidite,pression,temperature_en_degre_c,station_name
0,12.0,2025-11-06T11:00:00+00:00,92.0,98900.0,12.7,montaudran
1,12.0,2025-11-06T10:00:00+00:00,92.0,99000.0,12.9,montaudran
2,12.0,2025-11-06T09:00:00+00:00,91.0,98900.0,13.2,montaudran
3,12.0,2025-11-06T08:00:00+00:00,89.0,99100.0,13.4,montaudran
4,12.0,2025-11-06T07:00:00+00:00,87.0,99000.0,15.8,montaudran
5,12.0,2025-11-06T06:00:00+00:00,81.0,98900.0,17.3,montaudran
6,12.0,2025-11-06T05:00:00+00:00,80.0,98900.0,17.2,montaudran
7,12.0,2025-11-06T04:00:00+00:00,80.0,98800.0,17.1,montaudran
8,12.0,2025-11-06T03:00:00+00:00,80.0,98800.0,17.2,montaudran
9,12.0,2025-11-06T02:00:00+00:00,79.0,98800.0,17.3,montaudran
10,12.0,2025-11-06T01:00:00+00:00,79.0,98800.0,17.5,montaudran
11,12.0,2025-11-06T00:00:00+00:00,80.0,98900.0,17.3,montaudran
12,12.0,2025-11-05T23:00:00+00:00,80.0,99000.0,17.3,montaudran
13,12.0,2025-11-05T22:00:00+00:00,80.0,99100.0,17.5,montaudran
14,12.0,2025-11-05T21:00:00+00:00,81.0,99200.0,17.5,montaudran
15,12.0,2025-11-05T20:00:00+00:00,80.0,99100.0,17.5,montaudran
16,12.0,2025-11-05T19:00:00+00:00,80.0,99200.0,17.7,montaudran
17,12.0,2025-11-05T18:00:00+00:00,79.0,99200.0,17.9,montaudran
18,12.0,2025-11-05T17:00:00+00:00,77.0,99200.0,18.0,montaudran
19,12.0,2025-11-05T16:00:00+00:00,73.0,99200.0,18.5,montaudran
20,12.0,2025-11-05T15:00:00+00:00,70.0,99300.0,19.2,montaudran
21,12.0,2025-11-05T14:00:00+00:00,67.0,99300.0,20.0,montaudran
22,12.0,2025-11-05T13:00:00+00:00,66.0,99400.0,20.3,montaudran
23,12.0,2025-11-05T12:00:00+00:00,67.0,99500.0,20.1,montaudran
24,12.0,2025-11-05T11:00:00+00:00,69.0,99600.0,19.6,montaudran
25,12.0,2025-11-05T10:00:00+00:00,71.0,99600.0,18.8,montaudran
26,12.0,2025-11-05T09:00:00+00:00,75.0,99700.0,18.0,montaudran
27,12.0,2025-11-05T08:00:00+00:00,79.0,99700.0,16.8,montaudran
28,12.0,2025-11-05T07:00:00+00:00,81.0,99700.0,16.2,montaudran
29,12.0,2025-11-05T06:00:00+00:00,82.0,99700.0,16.0,montaudran
30,12.0,2025-11-05T05:00:00+00:00,82.0,99700.0,15.9,montaudran
31,12.0,2025-11-05T04:00:00+00:00,82.0,99800.0,15.8,montaudran
32,12.0,2025-11-05T03:00:00+00:00,83.0,99800.0,15.7,montaudran
33,12.0,2025-11-05T02:00:00+00:00,84.0,99800.0,15.7,montaudran
34,12.0,2025-11-05T01:00:00+00:00,85.0,99900.0,15.6,montaudran
35,12.0,2025-11-05T00:00:00+00:00,85.0,99900.0,15.6,montaudran
36,12.0,2025-11-04T23:00:00+00:00,85.0,100000.0,15.7,montaudran
37,12.0,2025-11-04T22:00:00+00:00,84.0,100000.0,15.8,montaudran
38,12.0,2025-11-04T21:00:00+00:00,83.0,100000.0,16.2,montaudran
39,12.0,2025-11-04T20:00:00+00:00,82.0,100000.0,16.3,montaudran
40,12.0,2025-11-04T19:00:00+00:00,81.0,100000.0,16.3,montaudran
41,12.0,2025-11-04T18:00:00+00:00,80.0,100000.0,16.6,montaudran
42,12.0,2025-11-04T17:00:00+00:00,76.0,100000.0,17.1,montaudran
43,12.0,2025-11-04T16:00:00+00:00,74.0,99900.0,17.9,montaudran
44,12.0,2025-11-04T15:00:00+00:00,70.0,100000.0,19.2,montaudran
45,12.0,2025-11-04T14:00:00+00:00,69.0,100000.0,19.4,montaudran
46,12.0,2025-11-04T13:00:00+00:00,70.0,100000.0,18.4,montaudran
47,12.0,2025-11-04T12:00:00+00:00,69.0,100000.0,17.7,montaudran
48,12.0,2025-11-04T11:00:00+00:00,70.0,100100.0,16.9,montaudran
49,12.0,2025-11-04T10:00:00+00:00,71.0,100100.0,15.8,montaudran
50,12.0,2025-11-04T09:00:00+00:00,71.0,100100.0,14.2,montaudran
51,12.0,2025-11-04T08:00:00+00:00,76.0,100100.0,12.2,montaudran
52,12.0,2025-11-04T07:00:00+00:00,77.0,100100.0,11.7,montaudran
53,12.0,2025-11-04T06:00:00+00:00,75.0,100100.0,12.1,montaudran
54,12.0,2025-11-04T05:00:00+00:00,83.0,100100.0,10.9,montaudran
55,12.0,2025-11-04T04:00:00+00:00,91.0,100100.0,10.0,montaudran
56,12.0,2025-11-04T03:00:00+00:00,92.0,100200.0,8.2,montaudran
57,12.0,2025-11-04T02:00:00+00:00,91.0,100200.0,7.9,montaudran
58,12.0,2025-11-04T01:00:00+00:00,91.0,100300.0,7.9,montaudran
59,12.0,2025-11-04T00:00:00+00:00,90.0,100300.0,8.2,montaudran
60,12.0,2025-11-03T23:00:00+00:00,89.0,100400.0,8.6,montaudran
61,12.0,2025-11-03T22:00:00+00:00,88.0,100400.0,9.3,montaudran
62,12.0,2025-11-03T21:00:00+00:00,87.0,100400.0,10.1,montaudran
63,12.0,2025-11-03T20:00:00+00:00,84.0,100300.0,11.1,montaudran
64,12.0,2025-11-03T19:00:00+00:00,81.0,100400.0,12.6,montaudran
65,12.0,2025-11-03T18:00:00+00:00,77.0,100400.0,13.7,montaudran
66,12.0,2025-11-03T17:00:00+00:00,70.0,100400.0,15.5,montaudran
67,12.0,2025-11-03T16:00:00+00:00,66.0,100400.0,16.9,montaudran
68,12.0,2025-11-03T15:00:00+00:00,63.0,100500.0,17.9,montaudran
69,12.0,2025-11-03T14:00:00+00:00,67.0,100500.0,17.7,montaudran
70,12.0,2025-11-03T13:00:00+00:00,73.0,100600.0,16.3,montaudran
71,12.0,2025-11-03T12:00:00+00:00,83.0,100700.0,15.0,montaudran
72,12.0,2025-11-03T11:00:00+00:00,91.0,100800.0,13.4,montaudran
73,12.0,2025-11-03T10:00:00+00:00,92.0,100800.0,12.2,montaudran
74,12.0,2025-11-03T09:00:00+00:00,92.0,100800.0,11.5,montaudran
75,12.0,2025-11-03T08:00:00+00:00,93.0,100800.0,10.3,montaudran
76,12.0,2025-11-03T07:00:00+00:00,92.0,100700.0,9.3,montaudran
77,12.0,2025-11-03T06:00:00+00:00,90.0,100700.0,9.8,montaudran
78,12.0,2025-11-03T05:00:00+00:00,90.0,100700.0,10.5,montaudran
79,12.0,2025-11-03T04:00:00+00:00,90.0,100700.0,10.9,montaudran
80,12.0,2025-11-03T03:00:00+00:00,90.0,100700.0,11.5,montaudran
81,12.0,2025-11-03T02:00:00+00:00,89.0,100600.0,12.1,montaudran
82,12.0,2025-11-03T01:00:00+00:00,89.0,100600.0,12.3,montaudran
83,12.0,2025-11-03T00:00:00+00:00,89.0,100600.0,12.5,montaudran
84,12.0,2025-11-02T23:00:00+00:00,88.0,100500.0,12.8,montaudran
85,12.0,2025-11-02T22:00:00+00:00,87.0,100500.0,12.9,montaudran
86,12.0,2025-11-02T21:00:00+00:00,86.0,100500.0,13.2,montaudran
87,12.0,2025-11-02T20:00:00+00:00,87.0,100500.0,13.1,montaudran
88,12.0,2025-11-02T19:00:00+00:00,87.0,100400.0,13.5,montaudran
89,12.0,2025-11-02T18:00:00+00:00,85.0,100400.0,13.9,montaudran
90,12.0,2025-11-02T17:00:00+00:00,83.0,100300.0,14.4,montaudran
91,12.0,2025-11-02T16:00:00+00:00,79.0,100300.0,14.9,montaudran
92,12.0,2025-11-02T15:00:00+00:00,75.0,100200.0,15.7,montaudran
93,12.0,2025-11-02T14:00:00+00:00,71.0,100200.0,16.2,montaudran
94,12.0,2025-11-02T13:00:00+00:00,74.0,100200.0,16.0,montaudran
95,12.0,2025-11-02T12:00:00+00:00,78.0,100200.0,15.3,montaudran
96,24.0,2025-11-06T11:00:00+00:00,95.0,98700.0,12.4,colomiers_zi_enjacca
97,24.0,2025-11-06T10:00:00+00:00,95.0,98800.0,12.7,colomiers_zi_enjacca
98,24.0,2025-11-06T09:00:00+00:00,94.0,98700.0,12.9,colomiers_zi_enjacca
99,24.0,2025-11-06T08:00:00+00:00,93.0,98800.0,13.3,colomiers_zi_enjacca
100,24.0,2025-11-06T07:00:00+00:00,90.0,98800.0,13.8,colomiers_zi_enjacca
101,24.0,2025-11-06T06:00:00+00:00,88.0,98700.0,16.3,colomiers_zi_enjacca
102,24.0,2025-11-06T05:00:00+00:00,85.0,98700.0,16.5,colomiers_zi_enjacca
103,24.0,2025-11-06T04:00:00+00:00,84.0,98600.0,16.5,colomiers_zi_enjacca
104,24.0,2025-11-06T03:00:00+00:00,85.0,98700.0,16.5,colomiers_zi_enjacca
105,24.0,2025-11-06T02:00:00+00:00,84.0,98700.0,16.6,colomiers_zi_enjacca
106,24.0,2025-11-06T01:00:00+00:00,82.0,98700.0,16.9,colomiers_zi_enjacca
107,24.0,2025-11-06T00:00:00+00:00,82.0,98700.0,16.9,colomiers_zi_enjacca
108,24.0,2025-11-05T23:00:00+00:00,83.0,98700.0,16.8,colomiers_zi_enjacca
109,24.0,2025-11-05T22:00:00+00:00,84.0,98900.0,16.8,colomiers_zi_enjacca
110,24.0,2025-11-05T21:00:00+00:00,85.0,98900.0,16.9,colomiers_zi_enjacca
111,24.0,2025-11-05T20:00:00+00:00,84.0,98900.0,16.9,colomiers_zi_enjacca
112,24.0,2025-11-05T19:00:00+00:00,83.0,99000.0,17.2,colomiers_zi_enjacca
113,24.0,2025-11-05T18:00:00+00:00,82.0,99000.0,17.3,colomiers_zi_enjacca
